,precision,recall,f1-score,support
0,0.8901098901098901,0.81,0.8481675392670157,100.0
1,0.8653846153846154,0.9,0.8823529411764707,100.0
2,0.819047619047619,0.86,0.8390243902439023,100.0
3,0.9693877551020408,0.95,0.9595959595959594,100.0
4,0.9587628865979382,0.93,0.9441624365482233,100.0
5,0.9603960396039604,0.97,0.9651741293532338,100.0
6,0.8932038834951457,0.92,0.9064039408866995,100.0
7,0.85,0.85,0.85,100.0
8,0.7904761904761904,0.83,0.8097560975609757,100.0
9,0.9611650485436893,0.99,0.9753694581280788,100.0
10,0.9072164948453608,0.88,0.8934010152284264,100.0
11,0.7596153846153846,0.79,0.7745098039215687,100.0
12,0.96,0.96,0.96,100.0
13,0.7211538461538461,0.75,0.7352941176470588,100.0
14,0.9789473684210527,0.93,0.9538461538461539,100.0
15,0.8571428571428571,0.84,0.8484848484848485,100.0
16,0.9056603773584906,0.96,0.9320388349514563,100.0
17,0.9484536082474226,0.92,0.9340101522842639,100.0
18,0.967391304347826,0.89,0.9270833333333334,100.0
19,0.9333333333333333,0.98,0.9560975609756097,100.0
20,0.9368421052631579,0.89,0.9128205128205129,100.0
accuracy,0.8952380952380953,0.8952380952380953,0.8952380952380953,0.8952380952380953
macro avg,0.8968424099090391,0.8952380952380954,0.8955996774406566,2100.0
weighted avg,0.8968424099090391,0.8952380952380953,0.8955996774406566,2100.0
